[0.25 0.25 0.1  0.  ],[0.25 0.25 1.   8.  ],[0.25 0.25 0.   6.  ]
[0.25 0.25 0.1  0.  ],[0.345 0.25  1.    7.   ],[0.45 0.25 0.   6.  ]
[0.25 0.25 0.1  0.  ],[0.155 0.25  1.    8.   ],[0.05 0.25 0.   5.  ]
[0.25 0.25 0.1  0.  ],[0.542 0.25  1.    7.   ],[0.867 0.25  0.    6.   ]
[0.25 0.25 0.1  0.  ],[0.474 0.438 1.    7.   ],[0.723 0.647 0.    6.   ]
[0.25 0.25 0.1  0.  ],[0.301 0.538 1.    8.   ],[3.572e-01 8.580e-01 1.110e-16 5.000e+00]
[0.25 0.25 0.1  0.  ],[0.104 0.503 1.    8.   ],[0.    0.683 0.361 4.   ]
[0.25 0.25 0.1  0.  ],[0.    0.341 0.919 4.   ],[0.025 0.35  1.    8.   ]
[0.25 0.25 0.1  0.  ],[0.    0.159 0.919 4.   ],[0.025 0.15  1.    8.   ]
[0.25 0.25 0.1  0.  ],[0.106 0.    0.988 2.   ],[1.038e-01 3.250e-03 1.000e+00 7.000e+00]
[0.25 0.25 0.1  0.  ],[0.294 0.    0.881 2.   ],[0.301 0.038 1.    7.   ]
[0.25 0.25 0.1  0.  ],[0.474 0.062 1.    7.   ],[0.548 0.    0.703 2.   ]
[0.25 0.25 0.1  0.  ],[0.77 0.25 1.   7.  ],[ 1.     0.25   0.601 10.   ]
[0.25 0.25 0.1  0.  ],[0.718 0.475 1.    7.   ],[1.    0.611 0.458 9.   ]
[0.25 0.25 0.1  0.  ],[0.574 0.656 1.    8.   ],[ 0.848  1.     0.238 11.   ]
[0.25 0.25 0.1  0.  ],[0.366 0.757 1.    8.   ],[ 0.421  1.     0.568 12.   ]
[0.25 0.25 0.1  0.  ],[0.134 0.757 1.    8.   ],[ 0.079  1.     0.568 12.   ]
[0.25 0.25 0.1  0.  ],[0.    0.563 0.794 4.   ],[0.074 0.656 1.    8.   ]
[0.25 0.25 0.1  0.  ],[0.    0.37  0.581 3.   ],[0.218 0.475 1.    8.   ]
[0.25 0.25 0.1  0.  ],[0.    0.25  0.533 3.   ],[0.27 0.25 1.   7.  ]
[0.25 0.25 0.1  0.  ],[0.    0.13  0.581 3.   ],[0.218 0.025 1.    7.   ]
[0.25 0.25 0.1  0.  ],[0.051 0.    0.654 1.   ],[0.    0.063 0.794 3.   ]
[0.25 0.25 0.1  0.  ],[0.193 0.    0.544 1.   ],[0.134 0.257 1.    8.   ]
[0.25 0.25 0.1  0.  ],[0.307 0.    0.544 1.   ],[0.366 0.257 1.    7.   ]
[0.25 0.25 0.1  0.  ],[4.494e-01 2.776e-17 6.538e-01 2.000e+00],[0.574 0.156 1.    7.   ]
[0.25 0.25 0.1  0.  ],[0.718 0.025 1.    7.   ],[0.769 0.    0.902 2.   ]
[0.25 0.25 0.1  0.  ],[1.    0.25  0.933 9.   ],[0.94 0.25 1.   7.  ]
[0.25 0.25 0.1  0.  ],[1.    0.494 0.976 9.   ],[0.979 0.5   1.    7.   ]
[0.25 0.25 0.1  0.  ],[0.906 0.726 1.    7.   ],[1.    0.795 0.87  9.   ]
[0.25 0.25 0.1  0.  ],[0.726 0.906 1.    8.   ],[ 0.795  1.     0.87  11.   ]
