[0.25 0.25 0.1  0.  ],[0.25 0.25 1.   8.  ],[0.25 0.25 0.   6.  ]
[0.25 0.25 0.1  0.  ],[0.603 0.25  1.    7.   ],[0.996 0.25  0.    6.   ]
[0.25 0.25 0.1  0.  ],[0.47  0.526 1.    8.   ],[0.715 0.833 0.    5.   ]
[0.25 0.25 0.1  0.  ],[0.171 0.594 1.    8.   ],[0.084 0.977 0.    5.   ]
[0.25 0.25 0.1  0.  ],[0.    0.37  0.807 4.   ],[0.068 0.403 1.    8.   ]
[0.25 0.25 0.1  0.  ],[0.    0.13  0.807 3.   ],[0.068 0.097 1.    8.   ]
[0.25 0.25 0.1  0.  ],[0.193 0.    0.753 1.   ],[0.171 0.094 1.    7.   ]
[0.25 0.25 0.1  0.  ],[0.449 0.    0.915 2.   ],[0.47  0.026 1.    7.   ]
[0.25 0.25 0.1  0.  ],[0.968 0.25  1.    7.   ],[1.   0.25 0.96 9.  ]
[0.25 0.25 0.1  0.  ],[0.886 0.584 1.    7.   ],[1.    0.644 0.838 9.   ]
[0.25 0.25 0.1  0.  ],[0.658 0.841 1.    8.   ],[ 0.768  1.     0.757 11.   ]
[0.25 0.25 0.1  0.  ],[0.337 0.962 1.    8.   ],[ 0.341  1.     0.953 11.   ]
[0.25 0.25 0.1  0.  ],[0.    0.909 0.984 4.   ],[4.509e-03 9.211e-01 1.000e+00 8.000e+00]
[0.25 0.25 0.1  0.  ],[0.    0.471 0.519 3.   ],[0.287 0.726 1.    8.   ]
[0.25 0.25 0.1  0.  ],[0.    0.312 0.423 3.   ],[0.447 0.422 1.    7.   ]
[0.25 0.25 0.1  0.  ],[0.    0.188 0.423 3.   ],[0.447 0.078 1.    7.   ]
[0.25 0.25 0.1  0.  ],[0.    0.029 0.519 3.   ],[ 3.219e-02 -3.469e-18  5.727e-01  1.000e+00]
[0.25 0.25 0.1  0.  ],[0.155 0.    0.435 1.   ],[0.    0.409 0.984 4.   ]
[0.25 0.25 0.1  0.  ],[0.28  0.    0.416 1.   ],[0.337 0.462 1.    8.   ]
[0.25 0.25 0.1  0.  ],[0.423 0.    0.481 1.   ],[0.658 0.341 1.    7.   ]
[0.25 0.25 0.1  0.  ],[0.726 0.    0.775 2.   ],[0.886 0.084 1.    7.   ]
[0.25 0.25 0.1  0.  ],[ 1.     0.25   0.611 10.   ],[0.43 0.25 1.   7.  ]
[0.25 0.25 0.1  0.  ],[1.    0.541 0.648 9.   ],[0.519 0.727 1.    8.   ]
[0.25 0.25 0.1  0.  ],[1.    0.934 0.792 9.   ],[ 0.927  1.     0.859 11.   ]
[0.25 0.25 0.1  0.  ],[ 0.623  1.     0.671 11.   ],[0.838 0.568 1.    7.   ]
[0.25 0.25 0.1  0.  ],[ 0.319  1.     0.614 12.   ],[0.372 0.436 1.    8.   ]
[0.25 0.25 0.1  0.  ],[ 0.037  1.     0.632 12.   ],[0.    0.871 0.723 4.   ]
[0.25 0.25 0.1  0.  ],[0.    0.581 0.383 3.   ],[ 0.316  1.     0.741 11.   ]
[0.25 0.25 0.1  0.  ],[0.    0.405 0.3   3.   ],[0.872 0.945 1.    8.   ]
[0.25 0.25 0.1  0.  ],[0.    0.297 0.273 3.   ],[1.    0.484 0.967 9.   ]
[0.25 0.25 0.1  0.  ],[0.    0.203 0.273 3.   ],[ 1.     0.016  0.967 10.   ]
[0.25 0.25 0.1  0.  ],[2.776e-17 9.521e-02 3.005e-01 3.000e+00],[0.154 0.    0.424 1.   ]
[0.25 0.25 0.1  0.  ],[0.061 0.    0.314 1.   ],[0.    0.081 0.383 3.   ]
[0.25 0.25 0.1  0.  ],[0.179 0.    0.277 1.   ],[0.    0.629 0.723 4.   ]
[0.25 0.25 0.1  0.  ],[0.273 0.    0.271 1.   ],[ 0.366  1.     0.956 11.   ]
[0.25 0.25 0.1  0.  ],[0.374 0.    0.29  1.   ],[0.838 0.932 1.    8.   ]
[0.25 0.25 0.1  0.  ],[0.524 0.    0.353 1.   ],[1.    0.434 0.792 9.   ]
[0.25 0.25 0.1  0.  ],[0.895 0.    0.572 2.   ],[ 1.     0.041  0.648 10.   ]
[0.25 0.25 0.1  0.  ],[ 1.     0.25   0.331 10.   ],[0.   0.25 0.64 3.  ]
[0.25 0.25 0.1  0.  ],[ 1.     0.494  0.343 10.   ],[0.    0.819 0.668 4.   ]
[0.25 0.25 0.1  0.  ],[1.    0.795 0.386 9.   ],[ 0.718  1.     0.494 11.   ]
[0.25 0.25 0.1  0.  ],[ 0.795  1.     0.386 11.   ],[1.    0.718 0.494 9.   ]
[0.25 0.25 0.1  0.  ],[ 0.494  1.     0.343 12.   ],[0.819 0.    0.668 2.   ]
[0.25 0.25 0.1  0.  ],[ 0.25   1.     0.331 12.   ],[0.25 0.   0.64 1.  ]
[0.25 0.25 0.1  0.  ],[6.310e-03 1.000e+00 3.432e-01 1.200e+01],[8.674e-19 9.806e-01 3.495e-01 4.000e+00]
[0.25 0.25 0.1  0.  ],[0.    0.594 0.231 3.   ],[ 0.295  1.     0.386 12.   ]
[0.25 0.25 0.1  0.  ],[2.776e-17 4.316e-01 1.953e-01 3.000e+00],[ 0.782  1.     0.494 11.   ]
[0.25 0.25 0.1  0.  ],[0.    0.331 0.181 3.   ],[1.    0.656 0.505 9.   ]
[0.25 0.25 0.1  0.  ],[0.    0.25  0.177 3.   ],[ 1.     0.25   0.486 10.   ]
[0.25 0.25 0.1  0.  ],[0.    0.169 0.181 3.   ],[ 5.194e-01 -2.776e-17  3.495e-01  1.000e+00]
[0.25 0.25 0.1  0.  ],[0.    0.068 0.195 3.   ],[0.094 0.    0.231 1.   ]
[0.25 0.25 0.1  0.  ],[6.836e-02 2.776e-17 1.953e-01 1.000e+00],[0.    0.094 0.231 3.   ]
[0.25 0.25 0.1  0.  ],[0.169 0.    0.181 1.   ],[0.    0.519 0.35  3.   ]
