[0.5 0.5 0.5 0. ],[0.5 0.5 1.  7. ]
[0.5 0.5 0.5 0. ],[0.789 0.5   1.    7.   ]
[0.5 0.5 0.5 0. ],[0.211 0.5   1.    8.   ]
[0.5 0.5 0.5 0. ],[1.  0.5 0.5 9. ]
[0.5 0.5 0.5 0. ],[ 0.789  1.     0.5   11.   ]
[0.5 0.5 0.5 0. ],[ 0.211  1.     0.5   12.   ]
[0.5 0.5 0.5 0. ],[0.  0.5 0.5 3. ]
[0.5 0.5 0.5 0. ],[0.211 0.    0.5   1.   ]
[0.5 0.5 0.5 0. ],[0.789 0.    0.5   2.   ]
[0.5 0.5 0.5 0. ],[0.789 0.5   0.    6.   ]
[0.5 0.5 0.5 0. ],[0.211 0.5   0.    5.   ]
[0.5 0.5 0.5 0. ],[0.5 0.5 0.  5. ]
[0. 0. 0. 0.],[0. 0. 0. 0.]
