[0.5 0.5 0.5 0. ],[0.5 0.5 1.  7. ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.627 0.5   1.    7.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.597 0.581 1.    7.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.522 0.625 1.    8.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.437 0.61  1.    8.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.381 0.543 1.    8.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.381 0.457 1.    8.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.437 0.39  1.    7.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.522 0.375 1.    7.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.597 0.419 1.    7.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.719 0.5   1.    7.   ],[ 1.    0.5   0.36 10.  ]
[0.5 0.5 0.5 0. ],[0.7   0.589 1.    7.   ],[ 1.     0.723  0.252 10.   ]
[0.5 0.5 0.5 0. ],[0.647 0.663 1.    8.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.568 0.709 1.    8.   ],[ 0.662  1.     0.301 12.   ]
[0.5 0.5 0.5 0. ],[0.477 0.718 1.    8.   ],[ 0.447  1.     0.354 12.   ]
[0.5 0.5 0.5 0. ],[0.39 0.69 1.   8.  ],[ 0.211  1.     0.184 12.   ]
[0.5 0.5 0.5 0. ],[0.323 0.629 1.    8.   ],[0.    0.863 0.091 3.   ]
[0.5 0.5 0.5 0. ],[0.285 0.546 1.    8.   ],[0.    0.606 0.335 3.   ]
[0.5 0.5 0.5 0. ],[0.285 0.454 1.    8.   ],[0.    0.394 0.335 3.   ]
[0.5 0.5 0.5 0. ],[0.323 0.371 1.    8.   ],[0.    0.137 0.091 3.   ]
[0.5 0.5 0.5 0. ],[0.39 0.31 1.   7.  ],[0.211 0.    0.184 1.   ]
[0.5 0.5 0.5 0. ],[0.477 0.282 1.    7.   ],[0.447 0.    0.354 1.   ]
[0.5 0.5 0.5 0. ],[0.568 0.291 1.    7.   ],[0.662 0.    0.301 1.   ]
[0.5 0.5 0.5 0. ],[0.647 0.337 1.    7.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.7   0.411 1.    7.   ],[ 1.     0.277  0.252 10.   ]
[0.5 0.5 0.5 0. ],[0.827 0.5   1.    7.   ],[1.    0.5   0.735 9.   ]
[0.5 0.5 0.5 0. ],[0.811 0.601 1.    7.   ],[1.    0.662 0.695 9.   ]
[0.5 0.5 0.5 0. ],[0.764 0.692 1.    7.   ],[1.    0.863 0.554 9.   ]
[0.5 0.5 0.5 0. ],[0.692 0.764 1.    8.   ],[ 0.863  1.     0.554 11.   ]
[0.5 0.5 0.5 0. ],[0.601 0.811 1.    8.   ],[ 0.662  1.     0.695 11.   ]
[0.5 0.5 0.5 0. ],[0.5   0.827 1.    8.   ],[ 0.5    1.     0.735 11.   ]
[0.5 0.5 0.5 0. ],[0.399 0.811 1.    8.   ],[ 0.338  1.     0.695 11.   ]
[0.5 0.5 0.5 0. ],[0.308 0.764 1.    8.   ],[ 0.137  1.     0.554 12.   ]
[0.5 0.5 0.5 0. ],[0.236 0.692 1.    8.   ],[0.    0.863 0.554 4.   ]
[0.5 0.5 0.5 0. ],[0.189 0.601 1.    8.   ],[0.    0.662 0.695 4.   ]
