[0.5 0.5 0.5 0. ],[0.5 0.5 1.  7. ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.707 0.5   1.    7.   ],[ 1.     0.5    0.293 10.   ]
[0.5 0.5 0.5 0. ],[0.564 0.697 1.    8.   ],[ 0.662  1.     0.231 12.   ]
[0.5 0.5 0.5 0. ],[0.332 0.622 1.    8.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.332 0.378 1.    8.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.564 0.303 1.    7.   ],[0.662 0.    0.231 1.   ]
[0.5 0.5 0.5 0. ],[1.  0.5 1.  9. ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.921 0.77  1.    7.   ],[1.    0.821 0.906 9.   ]
[0.5 0.5 0.5 0. ],[0.708 0.955 1.    8.   ],[ 0.728  1.     0.95  11.   ]
[0.5 0.5 0.5 0. ],[0.429 0.995 1.    8.   ],[ 0.428  1.     0.995 11.   ]
[0.5 0.5 0.5 0. ],[0.173 0.878 1.    8.   ],[ 0.067  1.     0.838 12.   ]
[0.5 0.5 0.5 0. ],[0.02  0.641 1.    8.   ],[0.    0.647 0.979 4.   ]
[0.5 0.5 0.5 0. ],[0.02  0.359 1.    8.   ],[0.    0.353 0.979 4.   ]
[0.5 0.5 0.5 0. ],[0.173 0.122 1.    7.   ],[0.067 0.    0.838 1.   ]
[0.5 0.5 0.5 0. ],[4.288e-01 5.089e-03 1.000e+00 7.000e+00],[0.428 0.    0.995 2.   ]
[0.5 0.5 0.5 0. ],[0.708 0.045 1.    7.   ],[0.728 0.    0.95  2.   ]
[0.5 0.5 0.5 0. ],[0.921 0.23  1.    7.   ],[1.    0.179 0.906 9.   ]
[0.5 0.5 0.5 0. ],[1.    0.5   0.707 9.   ],[0.293 0.5   1.    8.   ]
[0.5 0.5 0.5 0. ],[1.    0.741 0.73  9.   ],[ 0.462  1.     0.977 11.   ]
[0.5 0.5 0.5 0. ],[ 0.899  1.     0.765 11.   ],[1.    0.873 0.832 9.   ]
[0.5 0.5 0.5 0. ],[ 0.614  1.     0.712 11.   ],[0.769 0.323 1.    7.   ]
[0.5 0.5 0.5 0. ],[ 0.386  1.     0.712 11.   ],[0.231 0.323 1.    8.   ]
[0.5 0.5 0.5 0. ],[ 0.101  1.     0.765 12.   ],[0.    0.873 0.832 4.   ]
[0.5 0.5 0.5 0. ],[0.    0.741 0.73  4.   ],[ 0.538  1.     0.977 11.   ]
[0.5 0.5 0.5 0. ],[0.    0.5   0.707 4.   ],[0.707 0.5   1.    7.   ]
[0.5 0.5 0.5 0. ],[0.    0.259 0.73  3.   ],[0.538 0.    0.977 2.   ]
[0.5 0.5 0.5 0. ],[0.101 0.    0.765 1.   ],[0.    0.127 0.832 3.   ]
[0.5 0.5 0.5 0. ],[0.386 0.    0.712 2.   ],[0.231 0.677 1.    8.   ]
[0.5 0.5 0.5 0. ],[0.614 0.    0.712 2.   ],[0.769 0.677 1.    7.   ]
[0.5 0.5 0.5 0. ],[0.899 0.    0.765 2.   ],[ 1.     0.127  0.832 10.   ]
[0.5 0.5 0.5 0. ],[ 1.     0.259  0.73  10.   ],[0.462 0.    0.977 2.   ]
[0.5 0.5 0.5 0. ],[1.  0.5 0.5 9. ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[1.    0.723 0.5   9.   ],[ 0.377  1.     0.5   12.   ]
[0.5 0.5 0.5 0. ],[ 0.95  1.    0.5  11.  ],[1.    0.945 0.5   9.   ]
[0.5 0.5 0.5 0. ],[ 0.662  1.     0.5   11.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[ 0.447  1.     0.5   12.   ],[0.342 0.    0.5   1.   ]
[0.5 0.5 0.5 0. ],[ 0.211  1.     0.5   12.   ],[0.    0.634 0.5   4.   ]
[0.5 0.5 0.5 0. ],[0.    0.863 0.5   4.   ],[ 0.188  1.     0.5   12.   ]
[0.5 0.5 0.5 0. ],[5.551e-17 6.063e-01 5.000e-01 4.000e+00],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.    0.394 0.5   3.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.    0.137 0.5   3.   ],[0.188 0.    0.5   1.   ]
[0.5 0.5 0.5 0. ],[0.211 0.    0.5   1.   ],[0.    0.366 0.5   3.   ]
[0.5 0.5 0.5 0. ],[0.447 0.    0.5   1.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.662 0.    0.5   2.   ],[nan nan nan nan]
