[0.25 0.25 0.1  0.  ],[0.25 0.25 1.   8.  ],[0.25 0.25 0.   6.  ]
[0.25 0.25 0.1  0.  ],[0.455 0.25  1.    7.   ],[0.455 0.25  1.    7.   ]
[0.25 0.25 0.1  0.  ],[0.313 0.445 1.    8.   ],[0.313 0.445 1.    8.   ]
[0.25 0.25 0.1  0.  ],[0.084 0.371 1.    8.   ],[0.084 0.371 1.    8.   ]
[0.25 0.25 0.1  0.  ],[0.084 0.129 1.    8.   ],[0.084 0.129 1.    8.   ]
[0.25 0.25 0.1  0.  ],[0.313 0.055 1.    7.   ],[0.313 0.055 1.    7.   ]
[0.25 0.25 0.1  0.  ],[0.683 0.25  1.    7.   ],[ 1.     0.25   0.343 10.   ]
[0.25 0.25 0.1  0.  ],[0.625 0.467 1.    7.   ],[ 1.     0.683  0.102 10.   ]
[0.25 0.25 0.1  0.  ],[0.467 0.625 1.    8.   ],[ 0.683  1.     0.102 12.   ]
[0.25 0.25 0.1  0.  ],[0.25  0.683 1.    8.   ],[ 0.25   1.     0.343 12.   ]
[0.25 0.25 0.1  0.  ],[0.033 0.625 1.    8.   ],[0.    0.683 0.862 4.   ]
[0.25 0.25 0.1  0.  ],[0.    0.394 0.699 4.   ],[0.125 0.467 1.    8.   ]
[0.25 0.25 0.1  0.  ],[0.    0.25  0.619 3.   ],[0.183 0.25  1.    8.   ]
[0.25 0.25 0.1  0.  ],[0.    0.106 0.699 3.   ],[0.125 0.033 1.    7.   ]
[0.25 0.25 0.1  0.  ],[1.057e-01 2.776e-17 6.994e-01 1.000e+00],[0.033 0.125 1.    8.   ]
[0.25 0.25 0.1  0.  ],[0.25  0.    0.619 1.   ],[0.25  0.183 1.    7.   ]
[0.25 0.25 0.1  0.  ],[0.394 0.    0.699 2.   ],[0.467 0.125 1.    7.   ]
[0.25 0.25 0.1  0.  ],[0.625 0.033 1.    7.   ],[0.683 0.    0.862 2.   ]
[0.25 0.25 0.1  0.  ],[0.968 0.25  1.    7.   ],[1.   0.25 0.96 9.  ]
