[0.25 0.25 0.1  0.  ],[0.25 0.25 1.   8.  ],[0.25 0.25 0.   6.  ]
[0.25 0.25 0.1  0.  ],[0.542 0.25  1.    7.   ],[0.867 0.25  0.    6.   ]
[0.25 0.25 0.1  0.  ],[0.432 0.479 1.    8.   ],[6.349e-01 7.327e-01 1.110e-16 5.000e+00]
[0.25 0.25 0.1  0.  ],[0.185 0.535 1.    8.   ],[1.126e-01 8.519e-01 1.110e-16 5.000e+00]
[0.25 0.25 0.1  0.  ],[2.776e-17 3.704e-01 9.540e-01 4.000e+00],[0.013 0.377 1.    8.   ]
[0.25 0.25 0.1  0.  ],[2.776e-17 1.296e-01 9.540e-01 4.000e+00],[0.013 0.123 1.    8.   ]
[0.25 0.25 0.1  0.  ],[0.193 0.    0.889 2.   ],[0.185 0.035 1.    7.   ]
[0.25 0.25 0.1  0.  ],[0.432 0.021 1.    7.   ],[0.449 0.    0.916 2.   ]
[0.25 0.25 0.1  0.  ],[0.821 0.25  1.    7.   ],[ 1.     0.25   0.718 10.   ]
[0.25 0.25 0.1  0.  ],[0.756 0.515 1.    7.   ],[1.    0.644 0.565 9.   ]
[0.25 0.25 0.1  0.  ],[0.574 0.72  1.    8.   ],[ 0.768  1.     0.464 11.   ]
[0.25 0.25 0.1  0.  ],[0.319 0.817 1.    8.   ],[ 0.341  1.     0.71  11.   ]
[0.25 0.25 0.1  0.  ],[0.047 0.784 1.    8.   ],[0.    0.909 0.789 4.   ]
[0.25 0.25 0.1  0.  ],[0.    0.471 0.626 4.   ],[0.178 0.629 1.    8.   ]
[0.25 0.25 0.1  0.  ],[2.776e-17 3.116e-01 5.057e-01 3.000e+00],[0.305 0.387 1.    8.   ]
[0.25 0.25 0.1  0.  ],[0.    0.188 0.506 3.   ],[0.305 0.113 1.    7.   ]
[0.25 0.25 0.1  0.  ],[2.776e-17 2.852e-02 6.263e-01 3.000e+00],[0.032 0.    0.694 1.   ]
