[0.5 0.5 0.5 0. ],[0.5 0.5 1.  7. ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.634 0.5   1.    7.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.541 0.627 1.    8.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.392 0.579 1.    8.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.392 0.421 1.    8.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.541 0.373 1.    7.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.789 0.5   1.    7.   ],[1.    0.5   0.634 9.   ]
[0.5 0.5 0.5 0. ],[0.743 0.656 1.    7.   ],[1.    0.821 0.471 9.   ]
[0.5 0.5 0.5 0. ],[0.62  0.763 1.    8.   ],[ 0.728  1.     0.548 11.   ]
[0.5 0.5 0.5 0. ],[0.459 0.786 1.    8.   ],[ 0.428  1.     0.625 11.   ]
[0.5 0.5 0.5 0. ],[0.311 0.718 1.    8.   ],[ 0.067  1.     0.354 12.   ]
[0.5 0.5 0.5 0. ],[0.223 0.581 1.    8.   ],[0.    0.647 0.597 4.   ]
[0.5 0.5 0.5 0. ],[0.223 0.419 1.    8.   ],[0.    0.353 0.597 3.   ]
[0.5 0.5 0.5 0. ],[0.311 0.282 1.    7.   ],[0.067 0.    0.354 1.   ]
[0.5 0.5 0.5 0. ],[0.459 0.214 1.    7.   ],[0.428 0.    0.625 2.   ]
[0.5 0.5 0.5 0. ],[0.62  0.237 1.    7.   ],[7.283e-01 2.776e-17 5.479e-01 2.000e+00]
[0.5 0.5 0.5 0. ],[0.743 0.344 1.    7.   ],[ 1.     0.179  0.471 10.   ]
[0.5 0.5 0.5 0. ],[1.  0.5 1.  9. ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.962 0.691 1.    7.   ],[1.    0.707 0.959 9.   ]
[0.5 0.5 0.5 0. ],[0.854 0.854 1.    7.   ],[1.    1.    0.793 9.   ]
[0.5 0.5 0.5 0. ],[0.691 0.962 1.    8.   ],[ 0.707  1.     0.959 11.   ]
[0.5 0.5 0.5 0. ],[ 0.5  1.   1.  11. ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.309 0.962 1.    8.   ],[ 0.293  1.     0.959 11.   ]
[0.5 0.5 0.5 0. ],[0.146 0.854 1.    8.   ],[8.327e-17 1.000e+00 7.929e-01 1.200e+01]
[0.5 0.5 0.5 0. ],[0.038 0.691 1.    8.   ],[0.    0.707 0.959 4.   ]
[0.5 0.5 0.5 0. ],[0.  0.5 1.  4. ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.038 0.309 1.    8.   ],[0.    0.293 0.959 4.   ]
[0.5 0.5 0.5 0. ],[0.146 0.146 1.    7.   ],[0.000e+00 8.327e-17 7.929e-01 3.000e+00]
[0.5 0.5 0.5 0. ],[0.309 0.038 1.    7.   ],[0.293 0.    0.959 2.   ]
[0.5 0.5 0.5 0. ],[0.5 0.  1.  2. ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.691 0.038 1.    7.   ],[0.707 0.    0.959 2.   ]
[0.5 0.5 0.5 0. ],[0.854 0.146 1.    7.   ],[1.    0.    0.793 2.   ]
[0.5 0.5 0.5 0. ],[0.962 0.309 1.    7.   ],[1.    0.293 0.959 9.   ]
[0.5 0.5 0.5 0. ],[1.    0.5   0.789 9.   ],[0.634 0.5   1.    7.   ]
[0.5 0.5 0.5 0. ],[1.    0.662 0.804 9.   ],[0.676 0.768 1.    8.   ]
[0.5 0.5 0.5 0. ],[1.    0.863 0.857 9.   ],[ 0.812  1.     0.991 11.   ]
[0.5 0.5 0.5 0. ],[ 0.863  1.     0.857 11.   ],[1.    0.812 0.991 9.   ]
[0.5 0.5 0.5 0. ],[ 0.662  1.     0.804 11.   ],[0.768 0.676 1.    7.   ]
[0.5 0.5 0.5 0. ],[ 0.5    1.     0.789 11.   ],[0.5   0.634 1.    8.   ]
[0.5 0.5 0.5 0. ],[ 0.338  1.     0.804 11.   ],[0.232 0.676 1.    8.   ]
[0.5 0.5 0.5 0. ],[ 0.137  1.     0.857 12.   ],[0.    0.812 0.991 4.   ]
[0.5 0.5 0.5 0. ],[5.551e-17 8.633e-01 8.568e-01 4.000e+00],[ 0.188  1.     0.991 11.   ]
[0.5 0.5 0.5 0. ],[5.551e-17 6.625e-01 8.035e-01 4.000e+00],[0.324 0.768 1.    8.   ]
[0.5 0.5 0.5 0. ],[0.    0.5   0.789 4.   ],[0.366 0.5   1.    8.   ]
[0.5 0.5 0.5 0. ],[0.    0.338 0.804 4.   ],[0.324 0.232 1.    7.   ]
[0.5 0.5 0.5 0. ],[5.551e-17 1.367e-01 8.568e-01 3.000e+00],[0.188 0.    0.991 2.   ]
[0.5 0.5 0.5 0. ],[1.367e-01 5.551e-17 8.568e-01 1.000e+00],[0.    0.188 0.991 4.   ]
[0.5 0.5 0.5 0. ],[3.375e-01 5.551e-17 8.035e-01 2.000e+00],[0.232 0.324 1.    8.   ]
[0.5 0.5 0.5 0. ],[0.5   0.    0.789 2.   ],[0.5   0.366 1.    7.   ]
[0.5 0.5 0.5 0. ],[0.662 0.    0.804 2.   ],[0.768 0.324 1.    7.   ]
[0.5 0.5 0.5 0. ],[8.633e-01 5.551e-17 8.568e-01 2.000e+00],[1.    0.188 0.991 9.   ]
[0.5 0.5 0.5 0. ],[ 1.     0.137  0.857 10.   ],[0.812 0.    0.991 2.   ]
[0.5 0.5 0.5 0. ],[1.    0.338 0.804 9.   ],[0.676 0.232 1.    7.   ]
[0.5 0.5 0.5 0. ],[1.    0.5   0.634 9.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[1.    0.64  0.639 9.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[1.    0.804 0.657 9.   ],[ 0.678  1.     0.758 11.   ]
[0.5 0.5 0.5 0. ],[ 0.967  1.     0.683 11.   ],[1.    0.965 0.696 9.   ]
[0.5 0.5 0.5 0. ],[ 0.759  1.     0.651 11.   ],[1.    0.535 0.791 9.   ]
[0.5 0.5 0.5 0. ],[ 0.604  1.     0.637 11.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[ 0.466  1.     0.634 11.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[ 0.322  1.     0.642 12.   ],[0.    0.093 0.9   3.   ]
[0.5 0.5 0.5 0. ],[ 0.147  1.     0.664 12.   ],[0.    0.792 0.732 4.   ]
[0.5 0.5 0.5 0. ],[0.    0.907 0.673 4.   ],[ 0.115  1.     0.712 12.   ]
[0.5 0.5 0.5 0. ],[0.    0.717 0.646 4.   ],[ 0.651  1.     0.836 11.   ]
[0.5 0.5 0.5 0. ],[0.    0.569 0.635 4.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.    0.431 0.635 4.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[5.551e-17 2.828e-01 6.461e-01 3.000e+00],[0.651 0.    0.836 2.   ]
[0.5 0.5 0.5 0. ],[0.    0.093 0.673 3.   ],[0.115 0.    0.712 1.   ]
[0.5 0.5 0.5 0. ],[0.147 0.    0.664 1.   ],[0.    0.208 0.732 3.   ]
[0.5 0.5 0.5 0. ],[0.322 0.    0.642 1.   ],[0.    0.907 0.9   4.   ]
[0.5 0.5 0.5 0. ],[0.466 0.    0.634 2.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.604 0.    0.637 2.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.759 0.    0.651 2.   ],[1.    0.465 0.791 9.   ]
[0.5 0.5 0.5 0. ],[0.967 0.    0.683 2.   ],[ 1.     0.035  0.696 10.   ]
[0.5 0.5 0.5 0. ],[ 1.     0.196  0.657 10.   ],[0.678 0.    0.758 2.   ]
[0.5 0.5 0.5 0. ],[ 1.     0.36   0.639 10.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[1.  0.5 0.5 9. ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[1.    0.634 0.5   9.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[1.    0.789 0.5   9.   ],[ 0.634  1.     0.5   11.   ]
[0.5 0.5 0.5 0. ],[1.  1.  0.5 9. ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[ 0.789  1.     0.5   11.   ],[1.    0.634 0.5   9.   ]
[0.5 0.5 0.5 0. ],[ 0.634  1.     0.5   11.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[ 0.5  1.   0.5 11. ],[0.5 0.  0.5 1. ]
[0.5 0.5 0.5 0. ],[ 0.366  1.     0.5   12.   ],[0.098 0.    0.5   1.   ]
[0.5 0.5 0.5 0. ],[ 0.211  1.     0.5   12.   ],[0.    0.634 0.5   4.   ]
[0.5 0.5 0.5 0. ],[1.11e-16 1.00e+00 5.00e-01 1.20e+01],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.    0.789 0.5   4.   ],[ 0.366  1.     0.5   12.   ]
[0.5 0.5 0.5 0. ],[0.    0.634 0.5   4.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.  0.5 0.5 3. ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.    0.366 0.5   3.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.    0.211 0.5   3.   ],[0.366 0.    0.5   1.   ]
[0.5 0.5 0.5 0. ],[0.000e+00 5.551e-16 5.000e-01 3.000e+00],[5.551e-16 0.000e+00 5.000e-01 1.000e+00]
[0.5 0.5 0.5 0. ],[0.211 0.    0.5   1.   ],[0.    0.366 0.5   3.   ]
[0.5 0.5 0.5 0. ],[3.660e-01 5.551e-17 5.000e-01 1.000e+00],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.5 0.  0.5 1. ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.634 0.    0.5   2.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.789 0.    0.5   2.   ],[ 1.     0.366  0.5   10.   ]
[0.5 0.5 0.5 0. ],[1.  0.  0.5 2. ],[1.00e+00 2.22e-16 5.00e-01 1.00e+01]
[0.5 0.5 0.5 0. ],[ 1.     0.211  0.5   10.   ],[0.634 0.    0.5   2.   ]
[0.5 0.5 0.5 0. ],[ 1.     0.366  0.5   10.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[ 1.     0.5    0.366 10.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[1.    0.64  0.361 9.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[1.    0.804 0.343 9.   ],[ 0.678  1.     0.242 12.   ]
[0.5 0.5 0.5 0. ],[ 0.967  1.     0.317 11.   ],[1.    0.965 0.304 9.   ]
[0.5 0.5 0.5 0. ],[ 0.759  1.     0.349 11.   ],[ 1.     0.535  0.209 10.   ]
[0.5 0.5 0.5 0. ],[ 0.604  1.     0.363 12.   ],[0.812 0.    0.089 1.   ]
[0.5 0.5 0.5 0. ],[ 0.466  1.     0.366 12.   ],[0.397 0.    0.097 1.   ]
[0.5 0.5 0.5 0. ],[ 0.322  1.     0.358 12.   ],[0.    0.093 0.1   3.   ]
[0.5 0.5 0.5 0. ],[ 0.147  1.     0.336 12.   ],[0.    0.792 0.268 4.   ]
[0.5 0.5 0.5 0. ],[0.    0.907 0.327 4.   ],[ 0.115  1.     0.288 12.   ]
[0.5 0.5 0.5 0. ],[0.    0.717 0.354 4.   ],[ 0.651  1.     0.164 12.   ]
[0.5 0.5 0.5 0. ],[0.    0.569 0.365 3.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.    0.431 0.365 3.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[5.551e-17 2.828e-01 3.539e-01 3.000e+00],[0.651 0.    0.164 1.   ]
[0.5 0.5 0.5 0. ],[0.    0.093 0.327 3.   ],[0.115 0.    0.288 1.   ]
[0.5 0.5 0.5 0. ],[0.147 0.    0.336 1.   ],[0.    0.208 0.268 3.   ]
[0.5 0.5 0.5 0. ],[0.322 0.    0.358 1.   ],[0.    0.907 0.1   4.   ]
[0.5 0.5 0.5 0. ],[0.466 0.    0.366 1.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.604 0.    0.363 1.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.759 0.    0.349 2.   ],[ 1.     0.465  0.209 10.   ]
[0.5 0.5 0.5 0. ],[0.967 0.    0.317 2.   ],[ 1.     0.035  0.304 10.   ]
[0.5 0.5 0.5 0. ],[ 1.     0.196  0.343 10.   ],[0.678 0.    0.242 1.   ]
[0.5 0.5 0.5 0. ],[ 1.     0.36   0.361 10.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[ 1.     0.5    0.211 10.   ],[0.634 0.5   0.    6.   ]
[0.5 0.5 0.5 0. ],[ 1.     0.662  0.196 10.   ],[0.676 0.768 0.    5.   ]
[0.5 0.5 0.5 0. ],[1.    0.863 0.143 9.   ],[8.118e-01 1.000e+00 8.877e-03 1.200e+01]
[0.5 0.5 0.5 0. ],[ 0.863  1.     0.143 11.   ],[1.000e+00 8.118e-01 8.877e-03 1.000e+01]
[0.5 0.5 0.5 0. ],[ 0.662  1.     0.196 12.   ],[0.768 0.676 0.    6.   ]
[0.5 0.5 0.5 0. ],[ 0.5    1.     0.211 12.   ],[0.5   0.634 0.    5.   ]
[0.5 0.5 0.5 0. ],[ 0.338  1.     0.196 12.   ],[0.232 0.676 0.    5.   ]
[0.5 0.5 0.5 0. ],[ 0.137  1.     0.143 12.   ],[0.    0.812 0.009 3.   ]
[0.5 0.5 0.5 0. ],[5.551e-17 8.633e-01 1.432e-01 4.000e+00],[1.882e-01 1.000e+00 8.877e-03 1.200e+01]
[0.5 0.5 0.5 0. ],[5.551e-17 6.625e-01 1.965e-01 3.000e+00],[0.324 0.768 0.    5.   ]
[0.5 0.5 0.5 0. ],[0.    0.5   0.211 3.   ],[0.366 0.5   0.    5.   ]
[0.5 0.5 0.5 0. ],[0.    0.338 0.196 3.   ],[0.324 0.232 0.    6.   ]
[0.5 0.5 0.5 0. ],[5.551e-17 1.367e-01 1.432e-01 3.000e+00],[0.188 0.    0.009 1.   ]
[0.5 0.5 0.5 0. ],[1.367e-01 5.551e-17 1.432e-01 1.000e+00],[0.    0.188 0.009 3.   ]
[0.5 0.5 0.5 0. ],[3.375e-01 5.551e-17 1.965e-01 1.000e+00],[0.232 0.324 0.    5.   ]
[0.5 0.5 0.5 0. ],[0.5   0.    0.211 1.   ],[0.5   0.366 0.    6.   ]
[0.5 0.5 0.5 0. ],[0.662 0.    0.196 1.   ],[0.768 0.324 0.    6.   ]
[0.5 0.5 0.5 0. ],[8.633e-01 5.551e-17 1.432e-01 2.000e+00],[1.000e+00 1.882e-01 8.877e-03 1.000e+01]
[0.5 0.5 0.5 0. ],[ 1.     0.137  0.143 10.   ],[0.812 0.    0.009 1.   ]
[0.5 0.5 0.5 0. ],[ 1.     0.338  0.196 10.   ],[0.676 0.232 0.    6.   ]
[0.5 0.5 0.5 0. ],[1.00e+00 5.00e-01 1.11e-16 1.00e+01],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.962 0.691 0.    6.   ],[ 1.     0.707  0.041 10.   ]
[0.5 0.5 0.5 0. ],[0.854 0.854 0.    5.   ],[1.    1.    0.207 9.   ]
[0.5 0.5 0.5 0. ],[0.691 0.962 0.    5.   ],[ 0.707  1.     0.041 12.   ]
[0.5 0.5 0.5 0. ],[5.00e-01 1.00e+00 1.11e-16 1.20e+01],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.309 0.962 0.    5.   ],[ 0.293  1.     0.041 12.   ]
[0.5 0.5 0.5 0. ],[0.146 0.854 0.    5.   ],[8.327e-17 1.000e+00 2.071e-01 1.200e+01]
[0.5 0.5 0.5 0. ],[0.038 0.691 0.    5.   ],[0.    0.707 0.041 3.   ]
[0.5 0.5 0.5 0. ],[0.00e+00 5.00e-01 1.11e-16 3.00e+00],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.038 0.309 0.    5.   ],[0.    0.293 0.041 3.   ]
[0.5 0.5 0.5 0. ],[0.146 0.146 0.    5.   ],[0.000e+00 8.327e-17 2.071e-01 3.000e+00]
[0.5 0.5 0.5 0. ],[0.309 0.038 0.    6.   ],[0.293 0.    0.041 1.   ]
[0.5 0.5 0.5 0. ],[5.00e-01 0.00e+00 1.11e-16 1.00e+00],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.691 0.038 0.    6.   ],[0.707 0.    0.041 1.   ]
[0.5 0.5 0.5 0. ],[0.854 0.146 0.    6.   ],[1.    0.    0.207 2.   ]
[0.5 0.5 0.5 0. ],[0.962 0.309 0.    6.   ],[ 1.     0.293  0.041 10.   ]
[0.5 0.5 0.5 0. ],[0.789 0.5   0.    6.   ],[ 1.     0.5    0.366 10.   ]
